Source_Name,Frac_Variability,Unc_Frac_Variability
J0001.2+4741,0.69284904,0.40699458
J0001.2-0747,0.33279318,0.108399756
J0001.5+2113,1.0545832,0.24980173
J0001.6-4156,0.32796606,0.17213507
J0002.1-6728,0.30663496,0.19210596
J0002.3-0815,0.31231728,0.72063845
J0002.4-5156,0.74236494,0.5368229
J0003.1-5248,0.0,10.0
J0003.2+2207,0.0,10.0
J0003.3-1928,0.6441291,0.18886401
J0003.3-5905,0.0,10.0
J0003.9-1149,0.0,10.0
J0004.0+0840,0.3789283,0.39466152
J0004.3+4614,1.0609995,0.30065805
J0004.4-4737,0.88832825,0.22216858
J0005.9+3824,0.31499016,0.1092594
J0006.3-0620,0.47420785,0.34798664
J0006.4+0135,0.0,10.0
J0007.7+4008,0.459907,0.16440357
J0008.0+4711,0.0,10.0
J0008.0-3937,0.3060508,0.28185755
J0008.4-2339,0.33446735,0.32709983
J0008.4+1455,0.0,10.0
J0009.1+0628,0.21036947,0.16240887
J0009.3+5030,0.3876576,0.097016215
J0009.7-3217,0.57614726,0.27892378
J0009.8-4317,0.40474758,0.22151445
J0009.8+1340,0.18026507,0.9533287
J0010.6+2043,0.703227,0.27255243
J0010.6-3025,0.81430507,0.20909138
J0010.8-2154,0.35059354,0.33608282
J0011.4-4110,0.0,10.0
J0011.4+0057,0.8645765,0.22926088
J0011.8-3142,0.82548934,0.38572457
J0012.0+7043,0.5082704,0.24226098
J0013.1-3955,0.1877603,0.15923761
J0013.4+0950,0.07263258,1.3134522
J0013.6+4051,0.21067338,0.43958703
J0013.6-0424,0.0,10.0
J0013.9-1854,0.0,10.0
J0014.1+1910,0.9523104,0.28295776
J0014.1-5022,0.0,10.0
J0014.2+0854,0.0,10.0
J0014.3-0500,0.4009816,0.16371836
J0014.7+5801,0.48883054,0.2795322
J0014.8+6118,0.0,10.0
J0014.9+3212,0.5706339,0.16508006
J0015.2+3537,0.0,10.0
J0015.6+5551,0.20093396,0.26311764
J0015.9+2440,0.37328547,0.19607712
J0016.2-0016,0.5066495,0.1335978
J0016.5+1702,0.53896797,0.3104111
J0017.0-0649,0.3136468,0.14530855
J0017.5-0514,0.9217864,0.22516438
J0017.8+1455,0.4190438,0.2710172
J0018.4+2946,0.0,10.0
J0019.2-5640,1.1238974,0.29116112
J0019.3-8152,0.2506516,0.11214682
J0019.6+7327,0.97000355,0.23496246
J0019.6+2022,0.37297028,0.19966325
J0020.3+6919,0.0,10.0
J0021.0+0322,0.507199,0.34363332
J0021.5-2552,0.31696346,0.105978996
J0021.6-0855,0.34240133,0.43332177
J0021.9-5140,0.30867282,0.10539503
J0022.0+0006,0.0,10.0
J0022.1-1854,0.14650735,0.10293916
J0022.5+0608,0.25465125,0.07119565
J0023.7-6820,0.3767929,0.11975032
J0023.7+4457,0.7025848,0.18082085
J0023.9+1603,0.15068759,0.39975804
J0024.4+4647,0.6935985,0.2696358
J0024.7+0349,1.9035721,0.50439566
J0025.2-2231,0.06868979,1.4799982
J0025.7-4801,1.208137,0.30691704
J0026.6-4600,0.40731508,0.24365644
J0028.1+7505,0.19668725,0.29298323
J0028.4+2001,0.56784755,0.15088232
J0028.8-0112,0.51021206,0.46091184
J0028.9+3553,0.4057625,0.20514755
J0029.0-7044,0.44878334,0.13526003
J0029.4+2051,0.0,10.0
J0030.2-1647,0.67299277,0.22181468
J0030.3-4224,0.29834393,0.07893712
J0030.6-0212,0.9593103,0.22871825
J0031.3+0726,0.30590862,0.45033863
J0032.3-5522,1.5125356,0.3657169
J0032.4-2849,0.44307202,0.25579643
J0033.3-2040,0.0,10.0
J0033.5-1921,0.25645125,0.06969772
J0033.9+3858,0.6533565,0.217225
J0034.0-4116,0.82591075,0.2387395
J0035.0-5728,0.30286404,0.2587244
J0035.2+1514,0.26975292,0.09352929
J0035.8-0837,0.51566803,0.38487366
J0035.8+6131,0.6262066,0.22277662
J0035.9+5950,0.4717918,0.116199195
J0036.9+1832,1.3629011,0.34941682
J0037.6+3653,0.23196587,0.34301937
J0037.8+1239,0.5309858,0.14607924
J0037.9+2612,0.0,10.0
J0038.1+0012,0.0,10.0
J0038.2-2459,1.7992061,0.42553493
J0038.7-0204,0.33379373,0.1547133
J0039.0-0946,0.31074598,0.15001969
J0039.1-2219,0.0,10.0
J0039.1+4330,0.58922434,0.24946925
J0040.3+4050,0.45155495,0.30221972
J0040.4-2340,0.5130673,0.23158719
J0040.9+3203,0.64108527,0.34092873
J0041.3+6052,0.0,10.0
J0041.4+3800,0.4963681,0.39423257
J0041.7-1607,0.5488483,0.51463217
J0041.9-4702,0.0,10.0
J0042.0+3640,0.0,10.0
J0042.2+2319,0.2837649,0.1472611
J0043.5-0442,0.0,10.0
J0043.6+2223,0.45791787,0.4188947
J0043.7-1116,0.53038365,0.2608136
J0043.8+3425,0.44509575,0.11016051
J0044.2-8424,0.7543359,0.22558916
J0044.8+6802,0.4076765,0.20011215
J0045.1-3706,0.5581784,0.14485714
J0045.3+2128,0.8441885,0.20513287
J0045.7+1217,0.35393095,0.10914411
J0047.0+5657,0.66826785,0.17335635
J0047.1-6203,0.0,10.0
J0047.9+3947,0.41853198,0.12081468
J0047.9+5448,0.0,10.0
J0047.9+2233,1.2487925,0.31294847
J0048.6-2427,0.3003406,0.3251545
J0049.0+2252,0.0,10.0
J0049.1+4223,0.39451432,0.44732866
J0049.4-5402,0.20582822,0.183426
J0049.5-4150,0.0,10.0
J0049.6-4500,0.08008717,0.77697307
J0049.7+0237,0.41586488,0.10760098
J0050.0-5736,0.5070789,0.1374953
J0050.4-0452,0.7796493,0.1911146
J0050.7-0929,0.30774903,0.07693842
J0051.1-0648,0.76545554,0.19119306
J0051.2-6242,0.532574,0.131917
J0051.5-4220,0.3773489,0.14490658
J0052.9-6644,0.0,10.0
J0054.4+8627,0.4246611,0.17476709
J0054.7-2455,0.18397312,0.09916509
J0054.8-1954,0.7534965,0.33264315
J0055.1-1219,0.8922698,0.22974797
J0056.3-0935,0.2781732,0.11262743
J0056.4-2118,0.26254743,0.09634873
J0056.5-3936,0.0,10.0
J0056.6-4452,0.0,10.0
J0056.6-5317,0.8572003,0.28139183
J0056.8+1626,0.3029057,0.41871867
J0057.0+4101,0.2424513,0.5804066
J0057.3+2216,0.39925984,0.3190723
J0057.7+3023,0.0,10.0
J0058.0-0539,0.53594977,0.15578824
J0058.0-3233,0.3406405,0.09273061
J0058.3+1723,0.0,10.0
J0058.4+3315,1.3434004,0.35369086
J0058.6-1140,0.0,10.0
J0059.2+0006,0.30583,0.33588785
J0059.3-0152,0.0,10.0
J0059.5-3512,0.47803748,0.2896209
J0059.5-3338,0.50629276,0.30793175
J0100.3+0745,0.2806635,0.08543796
J0101.0-0059,0.3249546,0.3943688
J0101.7-5455,0.0,10.0
J0101.8-7543,0.0,10.0
J0102.0+1639,0.29708877,0.47273028
J0102.4+4214,0.86177075,0.21681854
J0102.4+0942,0.24041417,0.601457
J0102.6-5639,0.39709577,0.3453669
J0102.7-2001,0.0,10.0
J0102.8+5824,0.9102705,0.21579231
J0103.1+4954,0.28291258,0.32444954
J0103.5+1526,0.0,10.0
J0103.5+5337,0.45923495,0.14691308
J0103.8+1321,0.8332264,0.26638603
J0104.8-2416,0.6737287,0.17826265
J0105.1+3929,0.7974271,0.20878498
J0106.9-4832,0.0,10.0
J0107.3-1210,0.4874176,0.2275203
J0107.4+0334,0.78167397,0.26892072
J0108.1-0039,0.26004556,0.2634379
J0108.6+0134,0.8217476,0.19392546
J0109.1+1815,0.0,10.0
J0109.3+2401,0.76329255,0.37166283
J0109.7+6133,1.102885,0.26219988
J0110.0-4019,0.49937662,0.25789663
J0110.1+6805,0.08697854,0.06564641
J0110.2+4151,0.0,10.0
J0110.7-1254,0.0,10.0
J0110.9+4344,0.60535365,0.28657386
J0111.4+0534,0.0,10.0
J0111.5-2546,0.86636883,0.3135764
J0112.0-6634,0.37844333,0.14271581
J0112.1+2245,0.29828748,0.0718081
J0112.1-0321,0.4096838,0.17347154
J0112.6-3158,0.0,10.0
J0112.8-7506,0.0,10.0
J0112.8+3208,0.7578517,0.18006352
J0113.1-3553,0.9551538,0.23666136
J0113.4+4948,1.0099088,0.24160758
J0113.7+0225,0.3359937,0.23235354
J0114.0+6418,0.82967174,0.2745189
J0114.8+1326,0.32016727,0.09377874
J0114.9-3400,0.6211402,0.3343096
J0115.1+2622,0.75372,0.33080095
J0115.1-0129,0.7095524,0.2036402
J0115.6+0356,0.14919125,0.0708431
J0115.8+2519,0.8110101,0.19627023
J0116.0-1136,1.0095078,0.24413812
J0116.0-2745,0.4481542,0.26442897
J0116.2-6153,0.0,10.0
J0116.5-2812,0.26829487,0.7355237
J0116.5-3046,0.15140125,0.60197556
J0117.5-2442,0.0,10.0
J0117.8-2109,0.9187063,0.23020366
J0118.7-0848,0.8780445,0.3278962
J0118.9-2141,0.4032789,0.09894468
J0119.0-1458,0.26567242,0.16951913
J0119.4-5354,0.17191419,0.28873962
J0119.6+4158,0.0,10.0
J0119.9+4053,0.0,10.0
J0120.4-2701,0.13823336,0.043582622
J0121.7+5153,0.0,10.0
J0121.8-3916,0.29109052,0.24075969
J0122.1-3004,0.0,10.0
J0123.1+3421,0.4045229,0.23654944
J0123.7-2311,0.2882206,0.13121271
J0124.8-0625,1.009997,0.2959179
J0125.3-2548,0.31726703,0.11689805
J0125.4+3200,0.41182962,0.18009865
J0125.7-0015,0.0,10.0
J0126.0-2221,0.9751561,0.24940923
J0126.5-1553,0.0,10.0
J0127.1+3310,0.0,10.0
J0127.2-0819,0.0,10.0
J0127.2+0324,0.78145677,0.20976232
J0127.4-4813,0.4164282,0.18353342
J0127.9+4857,0.46635297,0.1881049
J0128.2+4400,0.28188378,0.5266057
J0128.3+5710,0.52905667,0.28189322
J0128.5+4440,0.8894869,0.31915757
J0129.0+6312,0.0,10.0
J0129.7+3436,0.0,10.0
J0129.8+1440,0.2639765,0.1334389
J0130.4-2129,0.0,10.0
J0130.6+1844,0.0,10.0
J0131.1+6120,0.5051704,0.13157155
J0131.2+5547,0.0,10.0
J0132.7-1654,0.43075776,0.1049978
J0132.7-0804,0.0,10.0
J0132.8-4413,0.0,10.0
J0132.8+4324,0.3852186,0.25799793
J0133.1-5201,1.2400142,0.2937228
J0133.2-4533,0.0,10.0
J0134.3-3842,0.8407699,0.27945703
J0134.5+2637,0.09042823,0.12746584
J0135.0+5338,0.20330529,0.46844465
J0135.1+0255,0.7568932,0.5222054
J0136.5+3906,0.18550965,0.05078897
J0137.0+4751,0.81147605,0.19234471
J0137.6-2430,0.6449417,0.1559696
J0137.9+5814,0.29363096,0.0904695
J0138.0+2247,0.5752136,0.18347383
J0138.5-4613,0.0,10.0
J0139.0+2601,0.5470395,0.29238188
J0140.6-0758,0.47535354,0.35064322
J0140.6+8736,0.7430823,0.26890668
J0141.4-0928,0.501261,0.12200077
J0142.7-0543,0.7225052,0.30609977
J0143.1-3622,1.102043,0.27804068
J0143.5-3156,0.0,10.0
J0143.7-5846,0.32236052,0.09100506
J0144.6+2705,0.2692489,0.06581215
J0145.0-2732,1.3776635,0.32764542
J0145.9+2319,0.57708895,0.30479315
J0146.0-6746,0.62227714,0.17770639
J0146.3+4606,0.0,10.0
J0146.9-5202,0.0,10.0
J0147.7-1321,0.0,10.0
J0148.2+5201,0.18382305,0.13689184
J0148.6+0127,0.3835329,0.21462615
J0149.6-0734,0.0,10.0
J0150.6-5448,0.0,10.0
J0151.0+0539,0.0,10.0
