Source_Name,SpectrumType,Pivot_Energy,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,SED_class
J0001.6-4156,PowerLaw         ,4009.3838,2.0757042e-14,1.7558894,2.3474046e-14,1.6675872,0.06975478,HSP
J0009.3+5030,LogParabola      ,1316.5792,1.4356928e-12,1.9939121,1.5412519e-12,1.8976711,0.06228566,HSP
J0009.8+1340,PowerLaw         ,2446.3928,1.9970882e-14,2.1652951,2.46361e-14,1.9495059,0.21887067,HSP
J0013.4+0950,PowerLaw         ,3223.53,1.5692022e-14,2.1515617,1.3768122e-14,2.250888,-0.06723811,HSP
J0013.9-1854,PowerLaw         ,2498.284,4.815596e-14,1.9975508,5.112665e-14,1.9552113,0.037264645,HSP
J0014.1-5022,PowerLaw         ,2658.6077,3.6815284e-14,2.0150008,3.8505237e-14,1.9675819,0.03362283,HSP
J0015.6+5551,PowerLaw         ,5696.421,1.24074775e-14,1.8762323,1.2308666e-14,1.881463,-0.0041418197,HSP
J0022.0+0006,PowerLaw         ,14206.8545,1.0386217e-15,1.5330765,8.650681e-16,1.5771286,-0.05945276,HSP
J0029.4+2051,PowerLaw         ,8560.29,1.753427e-15,1.6566781,2.6615738e-15,1.4344691,0.30380714,HSP
J0030.2-1647,PowerLaw         ,3909.7446,2.0350397e-14,1.7863624,2.5148503e-14,1.6412055,0.13414232,HSP
J0033.5-1921,LogParabola      ,1571.1472,9.079116e-13,1.7602993,9.941095e-13,1.6196342,0.07244495,HSP
J0035.9+5950,LogParabola      ,3201.1477,3.3162535e-13,1.7616578,3.538082e-13,1.6615051,0.05187776,HSP
J0037.8+1239,PowerLaw         ,1310.302,4.890718e-13,2.2157862,4.8567964e-13,2.2195632,-0.004597567,HSP
J0041.4+3800,PowerLaw         ,4417.6294,8.012742e-15,1.9358172,7.1096015e-15,1.9866525,-0.057919636,HSP
J0043.7-1116,PowerLaw         ,3149.5237,2.0924238e-14,1.9115086,2.733985e-14,1.592347,0.26773307,HSP
J0045.3+2128,LogParabola      ,2123.0813,3.0359976e-13,1.8091009,3.3101798e-13,1.6690748,0.07630503,HSP
J0047.9+5448,PowerLaw         ,17948.922,5.823629e-16,1.575197,5.7095987e-16,1.5806273,-0.008523053,HSP
J0049.5-4150,PowerLaw         ,3563.7036,8.63819e-15,1.992389,9.271981e-15,1.9327539,0.0557865,HSP
