Source_Name,SpectrumType,Pivot_Energy,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,SED_class
J0001.2+4741,PowerLaw         ,2514.9417,1.9206343e-14,2.2221549,1.893531e-14,2.2337143,-0.008456561,ISP
J0001.5+2113,LogParabola      ,355.78442,3.9051106e-11,2.659308,4.532746e-11,2.5481505,0.15877607,ISP
J0004.0+0840,PowerLaw         ,2554.3271,2.969869e-14,2.035315,4.5140107e-14,1.6673219,0.46910653,ISP
J0006.4+0135,PowerLaw         ,2602.1719,2.2629468e-14,2.0524669,3.0523144e-14,1.7409216,0.32114387,ISP
J0009.7-3217,PowerLaw         ,1941.9213,4.3940956e-14,2.1454287,5.253848e-14,2.0901954,0.12845568,ISP
J0011.4-4110,PowerLaw         ,746.64996,2.9612678e-13,2.5804715,3.496387e-13,2.5198011,0.15830652,ISP
J0015.2+3537,PowerLaw         ,5492.13,3.621733e-15,1.926888,3.32528e-15,1.9560485,-0.040807247,ISP
J0017.8+1455,PowerLaw         ,1576.2239,1.0417376e-13,2.192974,1.2529787e-13,2.0309079,0.19641905,ISP
J0019.3-8152,PowerLaw         ,1951.5142,1.6703339e-13,2.1124363,1.7725284e-13,2.0754688,0.041055746,ISP
J0021.5-2552,PowerLaw         ,1301.5568,4.2186813e-13,2.1214414,4.5003232e-13,2.0815938,0.045913514,ISP
J0021.9-5140,PowerLaw         ,1643.3568,2.3021803e-13,2.0653079,2.3355441e-13,2.0532596,0.009565411,ISP
J0028.8-0112,PowerLaw         ,3036.6772,1.1877558e-14,2.1475756,1.1982647e-14,2.1410205,0.005695018,ISP
J0031.3+0726,PowerLaw         ,3832.859,1.2713504e-14,1.9156202,1.4573227e-14,1.8350496,0.08665938,ISP
J0035.0-5728,PowerLaw         ,601.7941,7.65443e-13,2.7021055,8.318684e-13,2.65502,0.07154652,ISP
J0035.2+1514,LogParabola      ,1944.4471,2.7514053e-13,1.854817,3.0382524e-13,1.7176269,0.08106969,ISP
J0039.1+4330,PowerLaw         ,2612.9978,3.232116e-14,2.0589235,3.9880866e-14,2.006387,0.15314369,ISP
J0040.4-2340,PowerLaw         ,1340.8136,1.2432316e-13,2.3491604,1.3185239e-13,2.3079824,0.05191687,ISP
J0041.7-1607,PowerLaw         ,7311.198,1.725113e-15,1.7193164,2.3627156e-15,1.639576,0.18582992,ISP
J0041.9-4702,PowerLaw         ,4072.099,4.2312785e-15,1.885675,5.5182104e-15,1.6849213,0.21301726,ISP
J0048.6-2427,PowerLaw         ,2483.3467,3.2485255e-14,2.0449753,3.770886e-14,1.9769828,0.10237931,ISP
J0049.0+2252,PowerLaw         ,2917.3953,2.1038066e-14,2.2272182,2.2141609e-14,2.201496,0.04208052,ISP
J0050.7-0929,LogParabola      ,924.4346,4.452433e-12,2.016378,4.755771e-12,1.9210192,0.061110992,ISP
