Source_Name,SpectrumType,Pivot_Energy,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,SED_class
J0001.2-0747,PowerLaw         ,1612.6141,3.3465656e-13,2.1049428,3.5833494e-13,2.0718932,0.04876986,LSP
J0002.3-0815,PowerLaw         ,3959.9126,7.564005e-15,1.9895958,9.510118e-15,1.9282347,0.15012589,LSP
J0003.2+2207,PowerLaw         ,2572.9114,2.0326285e-14,2.210459,2.4485845e-14,0.7698703,0.99968916,LSP
J0003.3-1928,LogParabola      ,953.7989,4.970213e-13,2.2775729,6.135522e-13,2.0584412,0.24640359,LSP
J0003.9-1149,LogParabola      ,1677.4374,1.08234236e-13,2.0871086,1.464613e-13,1.9320688,0.27118722,LSP
J0004.3+4614,PowerLaw         ,917.12274,4.776886e-13,2.584969,5.144357e-13,2.526971,0.06729238,LSP
J0004.4-4737,PowerLaw         ,915.58276,7.345598e-13,2.36556,8.1582365e-13,2.3042858,0.09203692,LSP
J0005.9+3824,LogParabola      ,450.0627,6.2748686e-12,2.6721156,7.464893e-12,2.5520496,0.18990411,LSP
J0006.3-0620,PowerLaw         ,2162.2083,3.07161e-14,2.127844,3.924753e-14,2.1056306,0.16953455,LSP
J0008.0+4711,LogParabola      ,1362.5607,1.0761381e-12,2.0470488,1.1630224e-12,1.9286299,0.07913111,LSP
J0008.0-3937,PowerLaw         ,815.8528,3.996178e-13,2.5832374,5.6485036e-13,2.5210016,0.4068936,LSP
J0009.1+0628,PowerLaw         ,1881.5137,1.3995852e-13,2.0990546,1.5035563e-13,2.0630696,0.046000473,LSP
J0010.6+2043,PowerLaw         ,1386.2389,1.0691845e-13,2.31787,1.1840626e-13,2.249444,0.08393108,LSP
J0010.6-3025,PowerLaw         ,735.7083,1.0815205e-12,2.4560356,1.222906e-12,2.3925977,0.106107526,LSP
J0011.4+0057,PowerLaw         ,1181.6992,3.881936e-13,2.3342156,4.09098e-13,2.2857835,0.047320575,LSP
J0012.0+7043,PowerLaw         ,1832.2518,1.2321958e-13,2.4091682,1.2561068e-13,2.4050107,0.012992526,LSP
J0013.1-3955,PowerLaw         ,2175.2024,8.9358994e-14,2.0022683,1.0372072e-13,1.9179044,0.11524172,LSP
J0013.6+4051,PowerLaw         ,2255.9749,3.2920295e-14,2.1912282,2.9790952e-14,2.2282302,-0.05117838,LSP
J0013.6-0424,PowerLaw         ,2000.3036,4.3588664e-14,2.3075821,3.9590154e-14,2.2944312,-0.06943933,LSP
J0014.1+1910,PowerLaw         ,1453.2975,1.2298944e-13,2.276216,1.5303091e-13,2.1284394,0.1974029,LSP
J0014.3-0500,PowerLaw         ,1746.8634,1.465914e-13,2.3695645,1.5234637e-13,2.3549309,0.035951767,LSP
J0014.8+6118,PowerLaw         ,3922.2434,5.079701e-14,2.0499325,6.0140864e-14,1.9009732,0.1399983,LSP
J0014.9+3212,PowerLaw         ,569.68445,2.4539045e-12,2.6099987,2.8732763e-12,2.5612173,0.14044356,LSP
J0016.2-0016,LogParabola      ,372.34164,1.1965016e-11,2.7406797,1.4123364e-11,2.6136599,0.18483016,LSP
J0017.0-0649,PowerLaw         ,1267.8073,2.9248492e-13,2.2981074,3.0524276e-13,2.2780128,0.031068914,LSP
J0017.5-0514,LogParabola      ,830.78595,1.912522e-12,2.563,2.1490626e-12,2.5941525,0.10512555,LSP
J0019.2-5640,PowerLaw         ,1449.9862,1.546836e-13,2.204823,1.6276489e-13,2.1717246,0.039407466,LSP
