Source_Name,SpectrumType,Pivot_Energy,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,SED_class
J0001.2+4741,PowerLaw         ,2514.9417,1.9206343e-14,2.2221549,1.893531e-14,2.2337143,-0.008456561,ISP
J0001.2-0747,PowerLaw         ,1612.6141,3.3465656e-13,2.1049428,3.5833494e-13,2.0718932,0.04876986,LSP
J0001.5+2113,LogParabola      ,355.78442,3.9051106e-11,2.659308,4.532746e-11,2.5481505,0.15877607,ISP
J0001.6-4156,PowerLaw         ,4009.3838,2.0757042e-14,1.7558894,2.3474046e-14,1.6675872,0.06975478,HSP
J0002.1-6728,PowerLaw         ,3689.1895,1.8744873e-14,1.846469,2.3711413e-14,1.6778738,0.16372891,
J0002.3-0815,PowerLaw         ,3959.9126,7.564005e-15,1.9895958,9.510118e-15,1.9282347,0.15012589,LSP
J0002.4-5156,PowerLaw         ,4530.31,3.954719e-15,1.897161,6.36572e-15,1.3496544,0.6414554,
J0003.1-5248,PowerLaw         ,3772.3918,2.3296884e-14,1.8750632,2.5519082e-14,1.810078,0.05651087,
J0003.2+2207,PowerLaw         ,2572.9114,2.0326285e-14,2.210459,2.4485845e-14,0.7698703,0.99968916,LSP
J0003.3-1928,LogParabola      ,953.7989,4.970213e-13,2.2775729,6.135522e-13,2.0584412,0.24640359,LSP
J0003.3-5905,PowerLaw         ,1040.6666,1.7268618e-13,2.4606173,1.6223572e-13,2.5030756,-0.045128092,
J0003.9-1149,LogParabola      ,1677.4374,1.08234236e-13,2.0871086,1.464613e-13,1.9320688,0.27118722,LSP
J0004.0+0840,PowerLaw         ,2554.3271,2.969869e-14,2.035315,4.5140107e-14,1.6673219,0.46910653,ISP
J0004.3+4614,PowerLaw         ,917.12274,4.776886e-13,2.584969,5.144357e-13,2.526971,0.06729238,LSP
J0004.4-4737,PowerLaw         ,915.58276,7.345598e-13,2.36556,8.1582365e-13,2.3042858,0.09203692,LSP
J0005.9+3824,LogParabola      ,450.0627,6.2748686e-12,2.6721156,7.464893e-12,2.5520496,0.18990411,LSP
J0006.3-0620,PowerLaw         ,2162.2083,3.07161e-14,2.127844,3.924753e-14,2.1056306,0.16953455,LSP
J0006.4+0135,PowerLaw         ,2602.1719,2.2629468e-14,2.0524669,3.0523144e-14,1.7409216,0.32114387,ISP
J0007.7+4008,PowerLaw         ,1869.5715,1.2161746e-13,2.1588902,1.4444758e-13,1.9425657,0.17945859,
J0008.0+4711,LogParabola      ,1362.5607,1.0761381e-12,2.0470488,1.1630224e-12,1.9286299,0.07913111,LSP
J0008.0-3937,PowerLaw         ,815.8528,3.996178e-13,2.5832374,5.6485036e-13,2.5210016,0.4068936,LSP
J0008.4-2339,PowerLaw         ,6562.022,5.0302894e-15,1.6560616,7.260525e-15,1.3491105,0.27816898,
J0008.4+1455,PowerLaw         ,2117.6416,7.8505094e-14,2.091194,9.467693e-14,1.9389116,0.1600625,
J0009.1+0628,PowerLaw         ,1881.5137,1.3995852e-13,2.0990546,1.5035563e-13,2.0630696,0.046000473,LSP
J0009.3+5030,LogParabola      ,1316.5792,1.4356928e-12,1.9939121,1.5412519e-12,1.8976711,0.06228566,HSP
J0009.7-3217,PowerLaw         ,1941.9213,4.3940956e-14,2.1454287,5.253848e-14,2.0901954,0.12845568,ISP
J0009.8-4317,PowerLaw         ,2124.034,4.685171e-14,2.0651708,4.8496455e-14,2.046758,0.022229282,
J0009.8+1340,PowerLaw         ,2446.3928,1.9970882e-14,2.1652951,2.46361e-14,1.9495059,0.21887067,HSP
J0010.6+2043,PowerLaw         ,1386.2389,1.0691845e-13,2.31787,1.1840626e-13,2.249444,0.08393108,LSP
J0010.6-3025,PowerLaw         ,735.7083,1.0815205e-12,2.4560356,1.222906e-12,2.3925977,0.106107526,LSP
J0010.8-2154,PowerLaw         ,1216.8711,1.0259906e-13,2.3778617,9.448026e-14,2.4288561,-0.05275942,
J0011.4-4110,PowerLaw         ,746.64996,2.9612678e-13,2.5804715,3.496387e-13,2.5198011,0.15830652,ISP
J0011.4+0057,PowerLaw         ,1181.6992,3.881936e-13,2.3342156,4.09098e-13,2.2857835,0.047320575,LSP
J0011.8-3142,PowerLaw         ,3338.3945,1.1206882e-14,1.9735353,1.2195253e-14,1.9186677,0.06783949,
J0012.0+7043,PowerLaw         ,1832.2518,1.2321958e-13,2.4091682,1.2561068e-13,2.4050107,0.012992526,LSP
J0013.1-3955,PowerLaw         ,2175.2024,8.9358994e-14,2.0022683,1.0372072e-13,1.9179044,0.11524172,LSP
J0013.4+0950,PowerLaw         ,3223.53,1.5692022e-14,2.1515617,1.3768122e-14,2.250888,-0.06723811,HSP
J0013.6+4051,PowerLaw         ,2255.9749,3.2920295e-14,2.1912282,2.9790952e-14,2.2282302,-0.05117838,LSP
J0013.6-0424,PowerLaw         ,2000.3036,4.3588664e-14,2.3075821,3.9590154e-14,2.2944312,-0.06943933,LSP
J0013.9-1854,PowerLaw         ,2498.284,4.815596e-14,1.9975508,5.112665e-14,1.9552113,0.037264645,HSP
J0014.1+1910,PowerLaw         ,1453.2975,1.2298944e-13,2.276216,1.5303091e-13,2.1284394,0.1974029,LSP
J0014.1-5022,PowerLaw         ,2658.6077,3.6815284e-14,2.0150008,3.8505237e-14,1.9675819,0.03362283,HSP
J0014.2+0854,PowerLaw         ,1223.598,1.4768875e-13,2.4726174,1.3779663e-13,2.5028715,-0.036627624,
J0014.3-0500,PowerLaw         ,1746.8634,1.465914e-13,2.3695645,1.5234637e-13,2.3549309,0.035951767,LSP
J0014.7+5801,PowerLaw         ,9523.886,3.4357816e-15,1.7209659,4.454875e-15,1.5530362,0.17607784,
J0014.8+6118,PowerLaw         ,3922.2434,5.079701e-14,2.0499325,6.0140864e-14,1.9009732,0.1399983,LSP
